"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"ASN00009021","PERTH AIRPORT, AS","2014-05-01","0.0","22.3","5.2"
"ASN00009021","PERTH AIRPORT, AS","2014-05-02","0.0","20.8","7.4"
"ASN00009021","PERTH AIRPORT, AS","2014-05-03","0.0","23.4","5.6"
"ASN00009021","PERTH AIRPORT, AS","2014-05-04","0.0","22.3","14.3"
"ASN00009021","PERTH AIRPORT, AS","2014-05-05","1.6","20.3","13.9"
"ASN00009021","PERTH AIRPORT, AS","2014-05-06","0.0","22.5","15.2"
"ASN00009021","PERTH AIRPORT, AS","2014-05-07","3.8","21.6","17.6"
"ASN00009021","PERTH AIRPORT, AS","2014-05-08","37.4","19.1","12.5"
"ASN00009021","PERTH AIRPORT, AS","2014-05-09","3.8","22.2","11.5"
"ASN00009021","PERTH AIRPORT, AS","2014-05-10","3.8","21.4","13.2"
"ASN00009021","PERTH AIRPORT, AS","2014-05-11","2.4","24.4","11.1"
"ASN00009021","PERTH AIRPORT, AS","2014-05-12","0.0","23.5","11.1"
"ASN00009021","PERTH AIRPORT, AS","2014-05-13","2.4","22.0","10.7"
"ASN00009021","PERTH AIRPORT, AS","2014-05-14","0.0","21.6","11.8"
"ASN00009021","PERTH AIRPORT, AS","2014-05-15","0.0","22.4","12.5"
"ASN00009021","PERTH AIRPORT, AS","2014-05-16","0.0","23.1","10.2"
"ASN00009021","PERTH AIRPORT, AS","2014-05-17","0.6","22.8","10.6"
"ASN00009021","PERTH AIRPORT, AS","2014-05-18","0.2","21.3","11.3"
"ASN00009021","PERTH AIRPORT, AS","2014-05-19","0.8","21.8","15.3"
"ASN00009021","PERTH AIRPORT, AS","2014-05-20","3.4","23.4","15.5"
"ASN00009021","PERTH AIRPORT, AS","2014-05-21","6.2","20.7","14.9"
"ASN00009021","PERTH AIRPORT, AS","2014-05-22","1.2","22.1","12.8"
"ASN00009021","PERTH AIRPORT, AS","2014-05-23","30.2","21.0","14.6"
"ASN00009021","PERTH AIRPORT, AS","2014-05-24","6.6","20.2","14.0"
"ASN00009021","PERTH AIRPORT, AS","2014-05-25","2.0","20.2","11.6"
"ASN00009021","PERTH AIRPORT, AS","2014-05-26","5.6","20.0","13.2"
